Id,Name,Birthday,Birth Country,Team Id,Team Name
8473541,Jonathan Bernier,1988-08-07,CAN,1,New Jersey Devils
8476462,Dougie Hamilton,1993-06-17,CAN,1,New Jersey Devils
8477425,Miles Wood,1995-09-13,USA,1,New Jersey Devils
8481740,Tyce Thompson,1999-07-12,CAN,1,New Jersey Devils
8474056,P.K. Subban,1989-05-13,CAN,1,New Jersey Devils
8475193,Tomas Tatar,1990-12-01,SVK,1,New Jersey Devils
8476903,Jon Gillies,1994-01-22,USA,1,New Jersey Devils
8476918,Jimmy Vesey,1993-05-26,USA,1,New Jersey Devils
8476923,Damon Severson,1994-08-07,CAN,1,New Jersey Devils
8477341,Andreas Johnsson,1994-11-21,SWE,1,New Jersey Devils
8477419,Mason Geertsen,1995-04-19,CAN,1,New Jersey Devils
8477435,Ryan Graves,1995-05-21,CAN,1,New Jersey Devils
8478399,Jonas Siegenthaler,1997-05-06,CHE,1,New Jersey Devils
8478406,Mackenzie Blackwood,1996-12-09,CAN,1,New Jersey Devils
8478868,Christian Jaros,1996-04-02,SVK,1,New Jersey Devils
8479407,Jesper Bratt,1998-07-30,SWE,1,New Jersey Devils
8479414,Nathan Bastian,1997-12-06,CAN,1,New Jersey Devils
8479415,Michael McLeod,1998-02-03,CAN,1,New Jersey Devils
8479511,Janne Kuokkanen,1998-05-25,FIN,1,New Jersey Devils
8480002,Nico Hischier,1999-01-04,CHE,1,New Jersey Devils
8480003,Jesper Boqvist,1998-10-30,SWE,1,New Jersey Devils
8480226,Marian Studenic,1998-10-28,SVK,1,New Jersey Devils
8480883,Ty Smith,2000-03-24,CAN,1,New Jersey Devils
8481033,Akira Schmid,2000-05-12,CHE,1,New Jersey Devils
8481518,Nolan Foote,2000-11-29,USA,1,New Jersey Devils
8481559,Jack Hughes,2001-05-14,USA,1,New Jersey Devils
8482110,Dawson Mercer,2001-10-27,CAN,1,New Jersey Devils
8475151,Kyle Palmieri,1991-02-01,USA,2,New York Islanders
8477506,Ryan Pulock,1994-10-06,CAN,2,New York Islanders
8475754,Brock Nelson,1991-10-15,USA,2,New York Islanders
8480222,Sebastian Aho,1996-02-17,SWE,2,New York Islanders
8465009,Zdeno Chara,1977-03-18,SVK,2,New York Islanders
8470610,Zach Parise,1984-07-28,USA,2,New York Islanders
8472382,Andy Greene,1982-10-30,USA,2,New York Islanders
8473504,Cal Clutterbuck,1987-11-18,CAN,2,New York Islanders
8473575,Semyon Varlamov,1988-04-27,RUS,2,New York Islanders
8474573,Josh Bailey,1989-10-02,CAN,2,New York Islanders
8474709,Matt Martin,1989-05-08,CAN,2,New York Islanders
8475231,Casey Cizikas,1991-02-27,CAN,2,New York Islanders
8475314,Anders Lee,1990-07-03,USA,2,New York Islanders
8476419,Jean-Gabriel Pageau,1992-11-11,CAN,2,New York Islanders
8476429,Scott Mayfield,1992-10-14,USA,2,New York Islanders
8476917,Adam Pelech,1994-08-16,CAN,2,New York Islanders
8477527,Ross Johnston,1994-02-18,CAN,2,New York Islanders
8478009,Ilya Sorokin,1995-08-04,RUS,2,New York Islanders
8478445,Mathew Barzal,1997-05-26,CAN,2,New York Islanders
8478463,Anthony Beauvillier,1997-06-08,CAN,2,New York Islanders
8479356,Kieffer Bellows,1998-06-10,USA,2,New York Islanders
8480071,Robin Salo,1998-10-13,FIN,2,New York Islanders
8480789,Oliver Wahlstrom,2000-06-13,USA,2,New York Islanders
8480865,Noah Dobson,2000-01-07,CAN,2,New York Islanders
8478104,Sammy Blais,1996-06-17,CAN,3,New York Rangers
8471817,Ryan Reaves,1987-01-20,CAN,3,New York Rangers
8475184,Chris Kreider,1991-04-30,USA,3,New York Rangers
8475735,Greg McKegg,1992-06-17,CAN,3,New York Rangers
8475797,Jarred Tinordi,1992-02-20,USA,3,New York Rangers
8476234,Keith Kinkaid,1989-07-04,USA,3,New York Rangers
8476458,Ryan Strome,1993-07-11,CAN,3,New York Rangers
8476459,Mika Zibanejad,1993-04-18,SWE,3,New York Rangers
8476624,Barclay Goodrow,1993-02-26,CAN,3,New York Rangers
8476885,Jacob Trouba,1994-02-26,USA,3,New York Rangers
8478211,Dryden Hunt,1995-11-24,CAN,3,New York Rangers
8479291,Kevin Rooney,1993-05-21,USA,3,New York Rangers
8479323,Adam Fox,1998-02-17,USA,3,New York Rangers
8479324,Ryan Lindgren,1998-02-11,USA,3,New York Rangers
8479328,Julien Gauthier,1997-10-15,CAN,3,New York Rangers
8479333,Libor Hajek,1998-02-04,CZE,3,New York Rangers
8480078,Filip Chytil,1999-09-05,CZE,3,New York Rangers
8480289,Morgan Barron,1998-12-02,CAN,3,New York Rangers
8480382,Alexandar Georgiev,1996-02-10,BGR,3,New York Rangers
8480817,K'Andre Miller,2000-01-21,USA,3,New York Rangers
8480878,Nils Lundkvist,2000-07-27,SWE,3,New York Rangers
8481554,Kaapo Kakko,2001-02-13,FIN,3,New York Rangers
8481708,Zac Jones,2000-10-18,USA,3,New York Rangers
8482109,Alexis Lafrenière,2001-10-11,CAN,3,New York Rangers
8470775,Nate Thompson,1984-10-05,USA,4,Philadelphia Flyers
8475176,Ryan Ellis,1991-01-03,CAN,4,Philadelphia Flyers
8476461,Sean Couturier,1992-12-07,USA,4,Philadelphia Flyers
8479550,Tanner Laczynski,1997-06-01,USA,4,Philadelphia Flyers
8473512,Claude Giroux,1988-01-12,CAN,4,Philadelphia Flyers
8478439,Travis Konecny,1997-03-11,CAN,4,Philadelphia Flyers
8471735,Keith Yandle,1986-09-09,USA,4,Philadelphia Flyers
8473544,Derick Brassard,1987-09-22,CAN,4,Philadelphia Flyers
8474027,Justin Braun,1987-02-10,USA,4,Philadelphia Flyers
8474037,James van Riemsdyk,1989-05-04,USA,4,Philadelphia Flyers
8474715,Cam Atkinson,1989-06-05,USA,4,Philadelphia Flyers
8474889,Martin Jones,1990-01-10,CAN,4,Philadelphia Flyers
8475246,Kevin Connauton,1990-02-23,CAN,4,Philadelphia Flyers
8475763,Kevin Hayes,1992-05-08,USA,4,Philadelphia Flyers
8476372,Nick Seeler,1993-06-03,USA,4,Philadelphia Flyers
8476872,Scott Laughton,1994-05-30,CAN,4,Philadelphia Flyers
8477499,Rasmus Ristolainen,1994-10-27,FIN,4,Philadelphia Flyers
8477887,Patrick Brown,1992-05-29,USA,4,Philadelphia Flyers
8478051,Max Willman,1995-02-13,USA,4,Philadelphia Flyers
8478067,Oskar Lindblom,1996-08-15,SWE,4,Philadelphia Flyers
8478500,Ivan Provorov,1997-01-13,RUS,4,Philadelphia Flyers
8479382,Connor Bunnaman,1998-04-16,CAN,4,Philadelphia Flyers
8479394,Carter Hart,1998-08-13,CAN,4,Philadelphia Flyers
8479772,Zack MacEwen,1996-07-08,CAN,4,Philadelphia Flyers
8479933,Gerry Mayhew,1992-12-31,USA,4,Philadelphia Flyers
8480028,Morgan Frost,1999-05-14,CAN,4,Philadelphia Flyers
8480797,Joel Farabee,2000-02-25,USA,4,Philadelphia Flyers
8481178,Egor Zamula,2000-03-30,RUS,4,Philadelphia Flyers
8481546,Cam York,2001-01-05,USA,4,Philadelphia Flyers
8475722,Jason Zucker,1992-01-16,USA,5,Pittsburgh Penguins
8475839,Louis Domingue,1992-03-06,CAN,5,Pittsburgh Penguins
8480945,Juuso Riikola,1993-11-09,FIN,5,Pittsburgh Penguins
8470619,Brian Boyle,1984-12-18,USA,5,Pittsburgh Penguins
8471675,Sidney Crosby,1987-08-07,CAN,5,Pittsburgh Penguins
8471724,Kris Letang,1987-04-24,CAN,5,Pittsburgh Penguins
8475208,Brian Dumoulin,1991-09-06,USA,5,Pittsburgh Penguins
8475810,Bryan Rust,1992-05-11,USA,5,Pittsburgh Penguins
8476875,Mike Matheson,1994-02-27,CAN,5,Pittsburgh Penguins
8476927,Teddy Blueger,1994-08-15,LVA,5,Pittsburgh Penguins
8476934,Brock McGinn,1994-02-02,CAN,5,Pittsburgh Penguins
8477244,Chad Ruhwedel,1990-05-07,USA,5,Pittsburgh Penguins
8477404,Jake Guentzel,1994-10-06,USA,5,Pittsburgh Penguins
8477465,Tristan Jarry,1995-04-29,CAN,5,Pittsburgh Penguins
8477953,Kasperi Kapanen,1996-07-23,FIN,5,Pittsburgh Penguins
8477969,Marcus Pettersson,1996-05-08,SWE,5,Pittsburgh Penguins
8478017,Mark Friedman,1995-12-25,CAN,5,Pittsburgh Penguins
8478046,Danton Heinen,1995-07-05,CAN,5,Pittsburgh Penguins
8478507,John Marino,1997-05-21,USA,5,Pittsburgh Penguins
8478542,Evan Rodrigues,1993-07-28,CAN,5,Pittsburgh Penguins
8478866,Dominik Simon,1994-08-08,CZE,5,Pittsburgh Penguins
8479193,Casey DeSmith,1991-08-13,USA,5,Pittsburgh Penguins
